route_id,agency_id,route_short_name,route_long_name,route_type
12488842,FT_BOGOTA,12488842,12488842,3
12803255,FT_BOGOTA,12803255,12803255,3
288058,FT_BOGOTA,288058,288058,3
29109244,FT_BOGOTA,29109244,29109244,3
30193232,FT_BOGOTA,30193232,30193232,3
31862590,FT_BOGOTA,31862590,31862590,3
36471080,FT_BOGOTA,36471080,36471080,3
5254946,FT_BOGOTA,5254946,5254946,3
5451532,FT_BOGOTA,5451532,5451532,3
54763879,FT_BOGOTA,54763879,54763879,3
61831291,FT_BOGOTA,61831291,61831291,3
64293761,FT_BOGOTA,64293761,64293761,3
66213358,FT_BOGOTA,66213358,66213358,3
71273345,FT_BOGOTA,71273345,71273345,3
7221988,FT_BOGOTA,7221988,7221988,3
77251991,FT_BOGOTA,77251991,77251991,3
78854971,FT_BOGOTA,78854971,78854971,3
86485651,FT_BOGOTA,86485651,86485651,3
88248718,FT_BOGOTA,88248718,88248718,3
